Features,Score
ram,725592.0167298799
px_height,11556.859298659027
battery_power,8701.045258931445
px_width,5932.75971350225
mobile_wt,70.07179643244166
int_memory,37.8485421798425
fc,17.523702208488942
talk_time,17.5172081134378
sc_w,8.989380690932428
pc,7.643854999647664
n_cores,7.0726435929267275
sc_h,3.541295788825228
dual_sim,2.6441618832029175
touch_screen,2.527751816229096
blue,1.2966437353479918
four_g,1.257515740312431
m_dep,1.0812189691131722
clock_speed,0.6302740494957764
three_g,0.367215292032287
wifi,0.18023501994993352
